date,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2024-06-27,7305.16162109375,7181.0986328125,7090.2861328125,7131.32275390625,7419.04150390625,7845.658203125,8299.51171875,8770.642578125,9056.7294921875,9202.7431640625,9225.546875,9213.0693359375,9213.6357421875,9125.251953125,9225.36328125,9129.3251953125,9123.3310546875,9092.7734375,8855.2001953125,8686.2763671875,8409.96875,8079.16748046875,7770.3828125,7481.96337890625
2024-06-28,7982.2529296875,7818.6083984375,7740.72998046875,7679.99072265625,7822.853515625,8082.00830078125,8413.9482421875,8777.892578125,9049.1962890625,9281.5166015625,9342.5078125,9421.048828125,9431.96484375,9418.935546875,9394.33203125,9328.59765625,9286.8564453125,9280.60546875,9112.0078125,9038.380859375,8809.8330078125,8611.34765625,8352.8076171875,8094.9658203125
2024-06-29,8209.9482421875,8110.2646484375,8049.22802734375,7977.8173828125,7971.6328125,8046.89990234375,8161.3046875,8240.14453125,8313.171875,8486.259765625,8487.822265625,8545.3583984375,8537.1640625,8515.0908203125,8464.0732421875,8402.5,8380.8291015625,8373.1611328125,8341.640625,8279.3408203125,8191.81591796875,8136.97998046875,7982.57421875,7832.6630859375
2024-06-30,8786.681640625,8587.4091796875,8508.076171875,8322.2470703125,8249.4599609375,8271.197265625,8368.3544921875,8443.380859375,8636.275390625,8796.576171875,8863.5400390625,9069.5546875,9083.8525390625,9081.7802734375,9028.5322265625,8934.958984375,8978.0341796875,8917.9345703125,8946.51953125,8937.6435546875,8842.98046875,8830.3671875,8725.083984375,8557.2314453125
2024-07-01,8720.646484375,8560.9072265625,8513.859375,8460.2978515625,8509.69921875,8607.1298828125,8878.3369140625,9137.357421875,9468.1240234375,9638.0615234375,9821.0859375,9938.248046875,9912.041015625,9981.0458984375,9899.5224609375,9844.6689453125,9814.65234375,9797.2216796875,9724.935546875,9693.7158203125,9532.0517578125,9461.8486328125,9232.6748046875,9078.4736328125
2024-07-02,9197.02734375,9004.8349609375,8952.0517578125,8830.982421875,8816.7939453125,8795.8876953125,8978.7197265625,9176.24609375,9457.10546875,9659.7568359375,9816.64453125,10089.09375,10086.880859375,10151.166015625,10041.3701171875,10016.6005859375,9966.9716796875,10031.9951171875,9923.9755859375,9926.888671875,9756.5400390625,9669.19140625,9441.025390625,9236.3681640625
2024-07-03,9016.462890625,8840.2080078125,8835.1279296875,8752.791015625,8802.1396484375,8852.1787109375,9130.193359375,9383.8359375,9725.9375,9898.48046875,10062.9794921875,10286.3349609375,10237.8388671875,10272.1083984375,10156.8115234375,10168.9423828125,10084.58203125,10158.216796875,9985.27734375,9949.8896484375,9750.31640625,9622.134765625,9333.935546875,9111.140625
2024-07-04,9051.7685546875,8894.21484375,8881.0478515625,8820.322265625,8842.3037109375,8874.86328125,9155.7353515625,9394.5,9739.0439453125,9912.5595703125,10083.1328125,10324.3515625,10285.37109375,10331.2880859375,10213.35546875,10263.5498046875,10152.1083984375,10248.76953125,10061.0048828125,10005.6640625,9814.7880859375,9683.8671875,9394.9892578125,9173.537109375
2024-07-05,9262.8662109375,9104.5732421875,9070.1787109375,8956.9111328125,8878.123046875,8792.578125,8979.990234375,9172.8310546875,9477.84375,9676.14453125,9892.1142578125,10233.220703125,10235.841796875,10333.4130859375,10220.544921875,10303.162109375,10208.384765625,10322.1845703125,10152.9736328125,10146.40625,9978.1552734375,9884.294921875,9650.8232421875,9440.2275390625
2024-07-06,9245.5048828125,9118.6474609375,9013.134765625,8856.1259765625,8680.14453125,8656.09375,8750.1162109375,8753.9287109375,8925.283203125,9052.5341796875,9181.130859375,9454.4814453125,9484.2802734375,9560.5185546875,9478.525390625,9437.53125,9375.4228515625,9356.962890625,9291.419921875,9328.9697265625,9246.3056640625,9220.0908203125,9095.8984375,8928.4208984375
2024-07-07,9078.970703125,8967.9921875,8873.0625,8728.908203125,8609.919921875,8583.1796875,8751.8330078125,8793.9306640625,9025.103515625,9126.7998046875,9254.35546875,9514.7197265625,9493.59375,9521.1884765625,9455.7041015625,9370.919921875,9410.0087890625,9383.6435546875,9331.1044921875,9362.6298828125,9269.287109375,9233.236328125,9091.958984375,8961.861328125
2024-07-08,8889.7060546875,8795.3046875,8731.728515625,8612.548828125,8544.81640625,8564.3046875,8793.947265625,8943.0244140625,9264.474609375,9448.9873046875,9661.0986328125,9910.341796875,9901.6728515625,9918.3447265625,9829.8232421875,9812.1669921875,9833.71875,9843.9140625,9765.7373046875,9785.841796875,9639.1806640625,9576.9033203125,9359.7021484375,9227.556640625
2024-07-09,9101.3876953125,9000.5986328125,8989.1826171875,8920.0087890625,8898.708984375,8949.841796875,9178.869140625,9365.5576171875,9654.6669921875,9816.400390625,9960.6796875,10204.8603515625,10170.669921875,10160.880859375,10070.7880859375,10067.0791015625,10013.4677734375,10077.1337890625,9937.966796875,9904.42578125,9741.728515625,9620.015625,9377.07421875,9217.583984375
2024-07-10,8838.837890625,8741.9306640625,8743.1826171875,8705.6865234375,8729.115234375,8875.9345703125,9170.49609375,9380.3701171875,9680.1044921875,9825.22265625,9947.4169921875,10130.728515625,10080.4814453125,10042.2255859375,9977.4892578125,9962.115234375,9908.927734375,9948.4951171875,9779.0224609375,9710.623046875,9550.2490234375,9373.6865234375,9119.18359375,8937.6953125
2024-07-11,8405.9296875,8293.6015625,8270.57421875,8255.4482421875,8327.55859375,8568.650390625,8959.83203125,9251.8359375,9609.49609375,9760.8095703125,9908.6455078125,10044.689453125,10015.7451171875,9957.8037109375,9930.6982421875,9925.1357421875,9844.9697265625,9906.2880859375,9707.03125,9598.1259765625,9422.46875,9203.87109375,8913.0546875,8657.474609375
2024-07-12,7895.47998046875,7728.0927734375,7631.76708984375,7495.95166015625,7401.990234375,7468.46044921875,7579.80810546875,7758.04248046875,8010.080078125,8272.662109375,8477.017578125,8679.357421875,8763.93359375,8644.9599609375,8599.8271484375,8576.388671875,8577.8037109375,8621.8349609375,8627.830078125,8623.09375,8516.404296875,8374.5537109375,8282.091796875,7992.43017578125
2024-07-13,8183.10791015625,8009.85205078125,7897.234375,7754.8798828125,7668.5419921875,7654.53369140625,7719.07666015625,7767.94970703125,7918.73388671875,8116.11083984375,8219.9716796875,8417.33984375,8497.9638671875,8412.9326171875,8384.892578125,8345.3779296875,8321.5322265625,8327.8603515625,8322.4384765625,8314.95703125,8256.775390625,8212.7392578125,8132.51025390625,7912.76708984375
2024-07-14,7891.3271484375,7718.34375,7621.81103515625,7507.6787109375,7397.73291015625,7371.7578125,7437.56103515625,7489.8818359375,7675.41015625,7803.4111328125,7954.60009765625,8136.7080078125,8219.837890625,8125.8671875,8114.17626953125,8108.97998046875,8087.97314453125,8128.75830078125,8136.87060546875,8147.7509765625,8100.12255859375,8031.5634765625,7973.0068359375,7765.4189453125
2024-07-15,8152.17431640625,8008.14111328125,7884.54150390625,7767.35498046875,7681.82275390625,7800.73193359375,8044.5458984375,8258.6416015625,8597.015625,8885.0439453125,9088.759765625,9238.3837890625,9317.7666015625,9291.916015625,9235.8798828125,9228.46484375,9240.0439453125,9238.365234375,9215.7216796875,9208.091796875,9050.3017578125,8957.2099609375,8749.0341796875,8570.9580078125
2024-07-16,8285.4072265625,8047.5341796875,7911.8623046875,7746.3408203125,7700.111328125,7784.1455078125,8046.16162109375,8335.6435546875,8720.2880859375,9011.4921875,9244.466796875,9460.2041015625,9501.634765625,9422.322265625,9389.966796875,9346.6826171875,9322.2919921875,9383.02734375,9293.4736328125,9305.392578125,9140.107421875,8919.2109375,8770.751953125,8427.412109375
2024-07-17,8278.111328125,8058.58203125,7980.42529296875,7849.60595703125,7895.16552734375,8076.5107421875,8374.80859375,8688.548828125,9025.068359375,9268.2880859375,9412.1240234375,9524.8681640625,9542.576171875,9477.1240234375,9452.3623046875,9406.3388671875,9406.296875,9427.43359375,9298.654296875,9248.04296875,9073.3720703125,8846.8818359375,8657.16796875,8365.6650390625
2024-07-18,8356.611328125,8164.796875,8125.6669921875,8087.19580078125,8224.0595703125,8484.740234375,8859.998046875,9207.3857421875,9525.28515625,9698.505859375,9789.3974609375,9917.1953125,9893.37890625,9855.91015625,9836.7998046875,9801.470703125,9736.326171875,9760.34765625,9549.4345703125,9447.6572265625,9231.0517578125,8987.16796875,8721.1318359375,8439.228515625
2024-07-19,8208.30078125,8023.54638671875,7976.9091796875,7916.07373046875,8003.994140625,8286.98046875,8660.859375,9016.142578125,9324.587890625,9521.7529296875,9641.86328125,9745.697265625,9735.8408203125,9731.7421875,9722.5888671875,9661.8740234375,9618.4404296875,9643.93359375,9452.041015625,9347.357421875,9148.6572265625,8923.1328125,8662.228515625,8400.8125
2024-07-20,8089.20458984375,7965.30126953125,7865.63134765625,7754.35400390625,7691.42333984375,7784.46533203125,8003.07568359375,8116.40576171875,8350.3642578125,8548.560546875,8619.390625,8732.1884765625,8723.619140625,8700.732421875,8642.3447265625,8587.6591796875,8572.5791015625,8606.4921875,8563.123046875,8507.3994140625,8372.4794921875,8327.345703125,8139.814453125,7921.05029296875
2024-07-21,8013.39111328125,7858.64404296875,7747.798828125,7617.61376953125,7505.306640625,7530.49609375,7622.19091796875,7686.66748046875,7894.126953125,8086.92919921875,8205.9384765625,8358.5078125,8415.0673828125,8352.9990234375,8326.9716796875,8292.224609375,8292.5556640625,8307.7666015625,8319.8984375,8332.4033203125,8259.9013671875,8219.556640625,8095.09765625,7914.7626953125
2024-07-22,7871.06494140625,7749.330078125,7632.31298828125,7550.2626953125,7566.05029296875,7741.8251953125,8095.58154296875,8392.0283203125,8852.080078125,9165.2919921875,9473.4619140625,9598.900390625,9706.01171875,9694.5537109375,9703.20703125,9630.3681640625,9654.494140625,9671.87109375,9586.1416015625,9521.5185546875,9322.287109375,9242.7802734375,8909.4580078125,8716.6318359375
2024-07-23,8550.5634765625,8355.8056640625,8305.1318359375,8225.8076171875,8333.75390625,8510.5322265625,8845.34765625,9162.5361328125,9479.177734375,9671.9658203125,9806.8837890625,9937.5625,9891.7890625,9852.220703125,9799.9970703125,9746.9365234375,9733.0390625,9739.2353515625,9595.2021484375,9532.974609375,9349.2236328125,9137.03515625,8872.921875,8624.6484375
2024-07-24,8150.54345703125,7920.42822265625,7838.27294921875,7703.5107421875,7797.12646484375,7991.49609375,8357.087890625,8741.9365234375,9135.9296875,9379.841796875,9589.796875,9676.6083984375,9656.0341796875,9590.1328125,9570.8564453125,9521.4560546875,9535.9736328125,9562.712890625,9404.9853515625,9343.5458984375,9161.353515625,8889.923828125,8634.5263671875,8322.6259765625
2024-07-25,8391.548828125,8145.7734375,8069.177734375,7978.26611328125,8074.423828125,8281.9248046875,8642.9140625,9029.6669921875,9408.9306640625,9640.46875,9834.81640625,9993.2734375,9949.9755859375,9896.7021484375,9864.1201171875,9859.513671875,9809.00390625,9873.6376953125,9653.7490234375,9587.576171875,9385.337890625,9110.7783203125,8825.2978515625,8498.751953125
2024-07-26,8563.748046875,8327.1181640625,8280.9765625,8192.9521484375,8274.4189453125,8465.404296875,8814.748046875,9181.857421875,9547.9736328125,9763.5546875,9942.3134765625,10169.8203125,10107.5947265625,10079.2705078125,10016.33203125,10025.85546875,9937.02734375,10021.8642578125,9794.1064453125,9724.0673828125,9501.259765625,9273.53125,8976.5087890625,8645.109375
2024-07-27,8253.859375,8085.166015625,7962.31787109375,7823.6083984375,7749.8994140625,7826.19482421875,8005.64599609375,8123.0166015625,8352.5146484375,8540.6064453125,8638.5537109375,8770.1591796875,8763.8505859375,8726.6064453125,8666.0986328125,8605.35546875,8593.658203125,8617.8896484375,8599.81640625,8549.333984375,8448.890625,8377.486328125,8203.4306640625,7979.24169921875
2024-07-28,8142.3505859375,8015.8369140625,7877.87158203125,7769.45166015625,7667.00146484375,7736.716796875,7921.81494140625,8015.54638671875,8257.6044921875,8437.6865234375,8519.5234375,8650.912109375,8635.6865234375,8604.86328125,8575.423828125,8516.513671875,8564.7109375,8570.537109375,8575.314453125,8544.3154296875,8442.7470703125,8389.60546875,8242.0068359375,8061.22314453125
2024-07-29,8220.751953125,8066.73095703125,7965.4638671875,7840.49560546875,7874.65380859375,8038.69384765625,8370.1591796875,8717.8095703125,9143.4638671875,9430.77734375,9692.9716796875,9856.419921875,9863.00390625,9834.037109375,9808.185546875,9763.6435546875,9798.962890625,9808.9609375,9699.0146484375,9657.119140625,9478.384765625,9328.2060546875,9021.7802734375,8804.46484375
2024-07-30,8166.673828125,7982.72509765625,7912.94873046875,7823.0048828125,7936.3818359375,8161.685546875,8544.0322265625,8907.57421875,9262.416015625,9478.2021484375,9636.873046875,9731.0439453125,9702.25,9636.7880859375,9605.2919921875,9541.6435546875,9567.0810546875,9577.912109375,9413.1474609375,9336.7353515625,9139.078125,8896.482421875,8612.517578125,8343.9697265625
2024-07-31,8536.49609375,8341.30859375,8292.2646484375,8219.318359375,8323.6904296875,8519.880859375,8862.1435546875,9206.259765625,9556.8623046875,9740.9267578125,9895.8779296875,10066.9931640625,10006.5478515625,9950.43359375,9893.013671875,9878.8798828125,9846.953125,9884.7109375,9675.318359375,9610.9775390625,9414.6201171875,9166.5009765625,8885.8623046875,8608.4033203125
2024-08-01,8298.75,8070.74609375,7996.15673828125,7894.40283203125,7968.27685546875,8172.58203125,8550.1513671875,8948.259765625,9370.7109375,9604.9580078125,9840.005859375,10010.484375,9968.3369140625,9894.8701171875,9874.8671875,9874.923828125,9830.1220703125,9914.3447265625,9691.5,9624.662109375,9419.0888671875,9136.8740234375,8854.197265625,8512.166015625
2024-08-02,8286.2587890625,8043.52099609375,7953.884765625,7830.15966796875,7862.044921875,8056.35205078125,8414.826171875,8799.958984375,9217.865234375,9472.6650390625,9722.251953125,9907.4833984375,9888.7685546875,9831.015625,9801.5,9788.4375,9732.62890625,9834.4345703125,9628.3564453125,9570.4462890625,9376.80859375,9097.767578125,8837.392578125,8478.734375
2024-08-03,8327.6083984375,8142.11474609375,7985.48828125,7817.8818359375,7690.498046875,7724.158203125,7897.78564453125,7977.26318359375,8237.6181640625,8441.08984375,8597.5791015625,8799.8310546875,8841.6806640625,8792.8125,8721.7412109375,8647.9501953125,8667.8935546875,8681.478515625,8650.69921875,8623.4775390625,8554.1689453125,8478.6494140625,8305.8564453125,8113.02978515625
